country,year,sex,age,suicides_no,population,taux_suicide_100k,decennie
Albania,1993,Femme,55-74 ans,2,169500,1.1799410029498525,1990-1999
Albania,1993,Femme,75+ ans,0,39300,0,1990-1999
Albania,1993,Homme,15-24 ans,18,243300,7.398273736128237,1990-1999
Albania,1993,Homme,25-34 ans,9,230100,3.911342894393742,1990-1999
Albania,1993,Homme,35-54 ans,10,350300,2.8546959748786755,1990-1999
Albania,1993,Homme,5-14 ans,1,367000,0.2724795640326976,1990-1999
Albania,1993,Homme,55-74 ans,7,165000,4.242424242424242,1990-1999
Albania,1993,Homme,75+ ans,1,24200,4.132231404958678,1990-1999
Albania,1994,Femme,15-24 ans,6,282600,2.1231422505307855,1990-1999
Albania,1994,Femme,25-34 ans,4,261100,1.5319800842589044,1990-1999
Albania,1994,Femme,35-54 ans,2,342500,0.5839416058394161,1990-1999
Albania,1994,Femme,5-14 ans,0,344400,0,1990-1999
Albania,1994,Femme,55-74 ans,1,174600,0.572737686139748,1990-1999
Albania,1994,Femme,75+ ans,2,39900,5.012531328320803,1990-1999
Albania,1994,Homme,15-24 ans,6,242200,2.477291494632535,1990-1999
Albania,1994,Homme,25-34 ans,6,231400,2.592912705272256,1990-1999
Albania,1994,Homme,35-54 ans,9,362800,2.4807056229327453,1990-1999
Albania,1994,Homme,5-14 ans,1,371800,0.2689618074233459,1990-1999
Albania,1994,Homme,55-74 ans,11,171400,6.417736289381563,1990-1999
Albania,1994,Homme,75+ ans,2,24600,8.130081300813009,1990-1999
Albania,1995,Femme,15-24 ans,13,283500,4.585537918871252,1990-1999
Albania,1995,Femme,25-34 ans,7,264000,2.6515151515151514,1990-1999
Albania,1995,Femme,35-54 ans,8,356400,2.244668911335578,1990-1999
Albania,1995,Femme,5-14 ans,2,348700,0.5735589331803843,1990-1999
Albania,1995,Femme,55-74 ans,2,180400,1.1086474501108647,1990-1999
Albania,1995,Femme,75+ ans,2,40800,4.901960784313725,1990-1999
Albania,1995,Homme,15-24 ans,11,241200,4.560530679933665,1990-1999
Albania,1995,Homme,25-34 ans,13,232900,5.5817947617003005,1990-1999
Albania,1995,Homme,35-54 ans,14,375900,3.7243947858473,1990-1999
Albania,1995,Homme,5-14 ans,6,376500,1.593625498007968,1990-1999
Albania,1995,Homme,55-74 ans,9,178000,5.056179775280899,1990-1999
Albania,1995,Homme,75+ ans,1,25100,3.9840637450199203,1990-1999
Albania,1996,Femme,15-24 ans,16,287700,5.561348627042057,1990-1999
Albania,1996,Femme,25-34 ans,10,267900,3.7327360955580438,1990-1999
Albania,1996,Femme,35-54 ans,9,362000,2.4861878453038675,1990-1999
Albania,1996,Femme,5-14 ans,1,354100,0.2824060999717594,1990-1999
Albania,1996,Femme,55-74 ans,1,183100,0.5461496450027308,1990-1999
Albania,1996,Femme,75+ ans,2,41200,4.8543689320388355,1990-1999
Albania,1996,Homme,15-24 ans,17,243600,6.9786535303776684,1990-1999
Albania,1996,Homme,25-34 ans,14,235300,5.949851253718657,1990-1999
Albania,1996,Homme,35-54 ans,12,379600,3.1612223393045307,1990-1999
Albania,1996,Homme,5-14 ans,2,380400,0.5257623554153523,1990-1999
Albania,1996,Homme,55-74 ans,3,179900,1.6675931072818233,1990-1999
Albania,1996,Homme,75+ ans,2,25400,7.874015748031495,1990-1999
Albania,1997,Femme,15-24 ans,21,294000,7.142857142857143,1990-1999
Albania,1997,Femme,25-34 ans,16,273900,5.841548010222708,1990-1999
Albania,1997,Femme,35-54 ans,7,370100,1.8913807079167793,1990-1999
Albania,1997,Femme,5-14 ans,6,361800,1.658374792703151,1990-1999
Albania,1997,Femme,55-74 ans,0,187000,0,1990-1999
Albania,1997,Femme,75+ ans,2,42100,4.750593824228028,1990-1999
Albania,1997,Homme,15-24 ans,33,244400,13.502454991816695,1990-1999
Albania,1997,Homme,25-34 ans,36,236000,15.254237288135592,1990-1999
Albania,1997,Homme,35-54 ans,30,380800,7.878151260504202,1990-1999
Albania,1997,Homme,5-14 ans,4,381500,1.0484927916120577,1990-1999
Albania,1997,Homme,55-74 ans,12,180300,6.655574043261231,1990-1999
Albania,1997,Homme,75+ ans,3,25400,11.811023622047244,1990-1999
Albania,1998,Femme,15-24 ans,32,295600,10.825439783491204,1990-1999
Albania,1998,Femme,25-34 ans,10,275300,3.6324010170722847,1990-1999
Albania,1998,Femme,35-54 ans,9,372100,2.418704649287826,1990-1999
Albania,1998,Femme,5-14 ans,1,363800,0.2748763056624519,1990-1999
Albania,1998,Femme,55-74 ans,6,188200,3.188097768331562,1990-1999
Albania,1998,Femme,75+ ans,0,42300,0,1990-1999
Albania,1998,Homme,15-24 ans,27,248800,10.85209003215434,1990-1999
Albania,1998,Homme,25-34 ans,26,240400,10.8153078202995,1990-1999
Albania,1998,Homme,35-54 ans,29,388200,7.470376094796497,1990-1999
Albania,1998,Homme,5-14 ans,2,388400,0.5149330587023686,1990-1999
Albania,1998,Homme,55-74 ans,9,183800,4.896626768226333,1990-1999
Albania,1998,Homme,75+ ans,3,25800,11.627906976744187,1990-1999
Albania,1999,Femme,15-24 ans,19,296800,6.401617250673854,1990-1999
Albania,1999,Femme,25-34 ans,13,276500,4.701627486437613,1990-1999
Albania,1999,Femme,35-54 ans,5,373600,1.3383297644539613,1990-1999
Albania,1999,Femme,5-14 ans,1,365200,0.2738225629791895,1990-1999
Albania,1999,Femme,55-74 ans,6,188800,3.1779661016949152,1990-1999
Albania,1999,Femme,75+ ans,4,42400,9.433962264150942,1990-1999
Albania,1999,Homme,15-24 ans,24,250600,9.577015163607342,1990-1999
Albania,1999,Homme,25-34 ans,19,242300,7.841518778373916,1990-1999
Albania,1999,Homme,35-54 ans,31,391100,7.926361544362056,1990-1999
Albania,1999,Homme,5-14 ans,0,391300,0,1990-1999
Albania,1999,Homme,55-74 ans,14,185200,7.559395248380129,1990-1999
Albania,1999,Homme,75+ ans,3,25900,11.583011583011583,1990-1999
Albania,2000,Femme,15-24 ans,6,263900,2.2735884804850324,2000-2009
Albania,2000,Femme,25-34 ans,3,245800,1.2205044751830756,2000-2009
Albania,2000,Femme,35-54 ans,5,332200,1.5051173991571343,2000-2009
Albania,2000,Femme,5-14 ans,0,324700,0,2000-2009
Albania,2000,Femme,55-74 ans,0,168000,0,2000-2009
Albania,2000,Femme,75+ ans,2,37800,5.291005291005291,2000-2009
Albania,2000,Homme,15-24 ans,5,240000,2.0833333333333335,2000-2009
Albania,2000,Homme,25-34 ans,17,232000,7.3275862068965525,2000-2009
Albania,2000,Homme,35-54 ans,4,374700,1.0675206832132373,2000-2009
Albania,2000,Homme,5-14 ans,1,374900,0.2667377967457989,2000-2009
Albania,2000,Homme,55-74 ans,10,177400,5.636978579481398,2000-2009
Albania,2000,Homme,75+ ans,1,24900,4.016064257028113,2000-2009
Albania,2001,Femme,15-24 ans,9,271359,3.3166395807767572,2000-2009
Albania,2001,Femme,25-34 ans,4,222771,1.7955658501330964,2000-2009
Albania,2001,Femme,35-54 ans,12,370191,3.24156989229884,2000-2009
Albania,2001,Femme,5-14 ans,2,307356,0.6507112273715171,2000-2009
Albania,2001,Femme,55-74 ans,6,189799,3.161238994936749,2000-2009
Albania,2001,Femme,75+ ans,2,47254,4.232445930503238,2000-2009
Albania,2001,Homme,15-24 ans,10,256039,3.905654997871418,2000-2009
Albania,2001,Homme,25-34 ans,22,206484,10.65457856298793,2000-2009
Albania,2001,Homme,35-54 ans,34,378826,8.975096746263455,2000-2009
Albania,2001,Homme,5-14 ans,6,321556,1.8659269303014094,2000-2009
Albania,2001,Homme,55-74 ans,11,196670,5.59312554024508,2000-2009
Albania,2001,Homme,75+ ans,1,31044,3.2212343770132716,2000-2009
Albania,2002,Femme,15-24 ans,14,275970,5.073015182809725,2000-2009
Albania,2002,Femme,25-34 ans,7,223685,3.129400719762166,2000-2009
Albania,2002,Femme,35-54 ans,15,375113,3.9987950297643646,2000-2009
Albania,2002,Femme,5-14 ans,1,304850,0.3280301787764474,2000-2009
Albania,2002,Femme,55-74 ans,4,191712,2.086463027875146,2000-2009
Albania,2002,Femme,75+ ans,1,47407,2.1093931275971904,2000-2009
Albania,2002,Homme,15-24 ans,15,263067,5.70196946025157,2000-2009
Albania,2002,Homme,25-34 ans,23,206286,11.14956904491822,2000-2009
Albania,2002,Homme,35-54 ans,35,382139,9.158970950360994,2000-2009
Albania,2002,Homme,5-14 ans,1,319473,0.31301549739727613,2000-2009
Albania,2002,Homme,55-74 ans,13,198130,6.561348609498814,2000-2009
Albania,2002,Homme,75+ ans,4,31007,12.900312832586192,2000-2009
Albania,2003,Femme,15-24 ans,14,283709,4.934633726811628,2000-2009
Albania,2003,Femme,25-34 ans,9,222941,4.036942509453174,2000-2009
Albania,2003,Femme,35-54 ans,13,381760,3.4052808046940486,2000-2009
Albania,2003,Femme,5-14 ans,0,298477,0,2000-2009
Albania,2003,Femme,55-74 ans,9,195699,4.598899330093664,2000-2009
Albania,2003,Femme,75+ ans,6,49088,12.222946544980445,2000-2009
Albania,2003,Homme,15-24 ans,15,273235,5.489779859827621,2000-2009
Albania,2003,Homme,25-34 ans,9,205433,4.380990395895498,2000-2009
Albania,2003,Homme,35-54 ans,28,386196,7.250204559342924,2000-2009
Albania,2003,Homme,5-14 ans,4,313204,1.27712289753643,2000-2009
Albania,2003,Homme,55-74 ans,16,201520,7.939658594680428,2000-2009
Albania,2003,Homme,75+ ans,1,32667,3.0611932531300705,2000-2009
Albania,2004,Femme,15-24 ans,20,292268,6.843034475207686,2000-2009
Albania,2004,Femme,25-34 ans,11,222389,4.9462878109978465,2000-2009
Albania,2004,Femme,35-54 ans,17,391436,4.342983271850316,2000-2009
Albania,2004,Femme,5-14 ans,3,286705,1.046371706109067,2000-2009
Albania,2004,Femme,55-74 ans,3,203841,1.4717353231194903,2000-2009
Albania,2004,Femme,75+ ans,3,50970,5.885815185403178,2000-2009
Albania,2004,Homme,15-24 ans,19,286768,6.625564916587625,2000-2009
Albania,2004,Homme,25-34 ans,16,203938,7.845521678157087,2000-2009
Albania,2004,Homme,35-54 ans,39,391767,9.95489666051505,2000-2009
Albania,2004,Homme,5-14 ans,1,302181,0.3309274904775615,2000-2009
Albania,2004,Homme,55-74 ans,10,207202,4.826208241233193,2000-2009
Albania,2004,Homme,75+ ans,4,35526,11.259359342453415,2000-2009
Albania,2005,Femme,15-24 ans,0,281922,0,2000-2009
Albania,2005,Femme,25-34 ans,0,190745,0,2000-2009
Albania,2005,Femme,35-54 ans,0,386513,0,2000-2009
Albania,2005,Femme,5-14 ans,0,276559,0,2000-2009
Albania,2005,Femme,55-74 ans,0,210998,0,2000-2009
Albania,2005,Femme,75+ ans,0,53191,0,2000-2009
Albania,2005,Homme,15-24 ans,0,281675,0,2000-2009
Albania,2005,Homme,25-34 ans,0,177519,0,2000-2009
Albania,2005,Homme,35-54 ans,0,380242,0,2000-2009
Albania,2005,Homme,5-14 ans,0,291367,0,2000-2009
Albania,2005,Homme,55-74 ans,0,214118,0,2000-2009
Albania,2005,Homme,75+ ans,0,38471,0,2000-2009
Albania,2006,Femme,15-24 ans,0,283138,0,2000-2009
Albania,2006,Femme,25-34 ans,0,186391,0,2000-2009
Albania,2006,Femme,35-54 ans,0,388746,0,2000-2009
Albania,2006,Femme,5-14 ans,0,267316,0,2000-2009
Albania,2006,Femme,55-74 ans,0,215907,0,2000-2009
Albania,2006,Femme,75+ ans,0,56011,0,2000-2009
Albania,2006,Homme,15-24 ans,0,286679,0,2000-2009
Albania,2006,Homme,25-34 ans,0,174092,0,2000-2009
Albania,2006,Homme,35-54 ans,0,379076,0,2000-2009
Albania,2006,Homme,5-14 ans,0,282678,0,2000-2009
Albania,2006,Homme,55-74 ans,0,219360,0,2000-2009
Albania,2006,Homme,75+ ans,0,40782,0,2000-2009
Albania,2007,Femme,15-24 ans,13,281080,4.625017788529957,2000-2009
Albania,2007,Femme,25-34 ans,8,183629,4.356610339325488,2000-2009
Albania,2007,Femme,35-54 ans,14,391811,3.573151340825041,2000-2009
Albania,2007,Femme,5-14 ans,0,256808,0,2000-2009
Albania,2007,Femme,55-74 ans,9,221120,4.070188133140376,2000-2009
Albania,2007,Femme,75+ ans,3,57404,5.226116646923559,2000-2009
Albania,2007,Homme,15-24 ans,13,288349,4.508425553756039,2000-2009
Albania,2007,Homme,25-34 ans,9,172494,5.217572785140352,2000-2009
Albania,2007,Homme,35-54 ans,29,378626,7.659273267023394,2000-2009
Albania,2007,Homme,5-14 ans,4,272497,1.4679060686906644,2000-2009
Albania,2007,Homme,55-74 ans,14,224160,6.245538900785154,2000-2009
Albania,2007,Homme,75+ ans,8,42366,18.883066610017465,2000-2009
Albania,2008,Femme,15-24 ans,20,276073,7.244460704234025,2000-2009
Albania,2008,Femme,25-34 ans,9,182663,4.9271062010368825,2000-2009
Albania,2008,Femme,35-54 ans,19,393832,4.824392126592049,2000-2009
Albania,2008,Femme,5-14 ans,1,246288,0.4060287143506789,2000-2009
Albania,2008,Femme,55-74 ans,7,226448,3.0912174097364513,2000-2009
Albania,2008,Femme,75+ ans,5,59369,8.421903687109435,2000-2009
Albania,2008,Homme,15-24 ans,11,286702,3.836736402257396,2000-2009
Albania,2008,Homme,25-34 ans,21,172855,12.148910936912442,2000-2009
Albania,2008,Homme,35-54 ans,37,377119,9.811226695021995,2000-2009
Albania,2008,Homme,5-14 ans,7,262464,2.6670324311143623,2000-2009
Albania,2008,Homme,55-74 ans,21,228672,9.183459277917716,2000-2009
Albania,2008,Homme,75+ ans,2,44574,4.486920626374119,2000-2009
Albania,2009,Femme,15-24 ans,0,270003,0,2000-2009
Albania,2009,Femme,25-34 ans,0,182712,0,2000-2009
Albania,2009,Femme,35-54 ans,0,394286,0,2000-2009
Albania,2009,Femme,5-14 ans,0,236174,0,2000-2009
Albania,2009,Femme,55-74 ans,0,233302,0,2000-2009
Albania,2009,Femme,75+ ans,0,61582,0,2000-2009
Albania,2009,Homme,15-24 ans,0,283448,0,2000-2009
Albania,2009,Homme,25-34 ans,0,174955,0,2000-2009
Albania,2009,Homme,35-54 ans,0,374365,0,2000-2009
Albania,2009,Homme,5-14 ans,0,253007,0,2000-2009
Albania,2009,Homme,55-74 ans,0,234570,0,2000-2009
Albania,2009,Homme,75+ ans,0,47331,0,2000-2009
Albania,2010,Femme,15-24 ans,6,263581,2.2763401003865984,2010-2015
Albania,2010,Femme,25-34 ans,6,183579,3.268347686826925,2010-2015
Albania,2010,Femme,35-54 ans,12,394593,3.0411081798207267,2010-2015
Albania,2010,Femme,5-14 ans,2,223969,0.8929807250110506,2010-2015
Albania,2010,Femme,55-74 ans,7,241491,2.8986587491873403,2010-2015
Albania,2010,Femme,75+ ans,2,64415,3.10486687883257,2010-2015
Albania,2010,Homme,15-24 ans,10,279508,3.577715128010647,2010-2015
Albania,2010,Homme,25-34 ans,9,179720,5.0077898953928335,2010-2015
Albania,2010,Homme,35-54 ans,20,371611,5.381972008363585,2010-2015
Albania,2010,Homme,5-14 ans,0,240939,0,2010-2015
Albania,2010,Homme,55-74 ans,20,241852,8.269520202437855,2010-2015
Albania,2010,Homme,75+ ans,2,50767,3.93956704158213,2010-2015
Antigua and Barbuda,1983,Femme,15-24 ans,0,7882,0,1980-1989
Antigua and Barbuda,1983,Femme,25-34 ans,0,6341,0,1980-1989
Antigua and Barbuda,1983,Femme,35-54 ans,0,6284,0,1980-1989
Antigua and Barbuda,1983,Femme,5-14 ans,0,8119,0,1980-1989
Antigua and Barbuda,1983,Femme,55-74 ans,0,3729,0,1980-1989
Antigua and Barbuda,1983,Femme,75+ ans,0,904,0,1980-1989
Antigua and Barbuda,1983,Homme,15-24 ans,0,7932,0,1980-1989
Antigua and Barbuda,1983,Homme,25-34 ans,0,6317,0,1980-1989
Antigua and Barbuda,1983,Homme,35-54 ans,0,5929,0,1980-1989
Antigua and Barbuda,1983,Homme,5-14 ans,0,8165,0,1980-1989
Antigua and Barbuda,1983,Homme,55-74 ans,0,2700,0,1980-1989
Antigua and Barbuda,1983,Homme,75+ ans,0,389,0,1980-1989
Antigua and Barbuda,1985,Femme,15-24 ans,0,7709,0,1980-1989
Antigua and Barbuda,1985,Femme,25-34 ans,0,6344,0,1980-1989
Antigua and Barbuda,1985,Femme,35-54 ans,0,6173,0,1980-1989
Antigua and Barbuda,1985,Femme,5-14 ans,0,7339,0,1980-1989
Antigua and Barbuda,1985,Femme,55-74 ans,0,3778,0,1980-1989
Antigua and Barbuda,1985,Femme,75+ ans,0,949,0,1980-1989
Antigua and Barbuda,1985,Homme,15-24 ans,0,7667,0,1980-1989
Antigua and Barbuda,1985,Homme,25-34 ans,0,6194,0,1980-1989
Antigua and Barbuda,1985,Homme,35-54 ans,0,5970,0,1980-1989
Antigua and Barbuda,1985,Homme,5-14 ans,0,7304,0,1980-1989
Antigua and Barbuda,1985,Homme,55-74 ans,0,2723,0,1980-1989
Antigua and Barbuda,1985,Homme,75+ ans,0,424,0,1980-1989
Antigua and Barbuda,1986,Femme,15-24 ans,0,7668,0,1980-1989
Antigua and Barbuda,1986,Femme,25-34 ans,0,6209,0,1980-1989
Antigua and Barbuda,1986,Femme,35-54 ans,0,6101,0,1980-1989
Antigua and Barbuda,1986,Femme,5-14 ans,0,6907,0,1980-1989
Antigua and Barbuda,1986,Femme,55-74 ans,0,3764,0,1980-1989
Antigua and Barbuda,1986,Femme,75+ ans,0,1014,0,1980-1989
Antigua and Barbuda,1986,Homme,15-24 ans,0,7563,0,1980-1989
Antigua and Barbuda,1986,Homme,25-34 ans,0,6023,0,1980-1989
Antigua and Barbuda,1986,Homme,35-54 ans,0,5947,0,1980-1989
Antigua and Barbuda,1986,Homme,5-14 ans,0,6827,0,1980-1989
Antigua and Barbuda,1986,Homme,55-74 ans,0,2771,0,1980-1989
Antigua and Barbuda,1986,Homme,75+ ans,0,476,0,1980-1989
Antigua and Barbuda,1987,Femme,15-24 ans,0,7583,0,1980-1989
Antigua and Barbuda,1987,Femme,25-34 ans,0,6101,0,1980-1989
Antigua and Barbuda,1987,Femme,35-54 ans,0,6059,0,1980-1989
Antigua and Barbuda,1987,Femme,5-14 ans,0,6623,0,1980-1989
Antigua and Barbuda,1987,Femme,55-74 ans,0,3738,0,1980-1989
Antigua and Barbuda,1987,Femme,75+ ans,0,1081,0,1980-1989
Antigua and Barbuda,1987,Homme,15-24 ans,0,7421,0,1980-1989
Antigua and Barbuda,1987,Homme,25-34 ans,0,5893,0,1980-1989
Antigua and Barbuda,1987,Homme,35-54 ans,0,5927,0,1980-1989
Antigua and Barbuda,1987,Homme,5-14 ans,0,6499,0,1980-1989
Antigua and Barbuda,1987,Homme,55-74 ans,0,2798,0,1980-1989
Antigua and Barbuda,1987,Homme,75+ ans,0,538,0,1980-1989
Antigua and Barbuda,1988,Femme,15-24 ans,0,7413,0,1980-1989
Antigua and Barbuda,1988,Femme,25-34 ans,0,6041,0,1980-1989
Antigua and Barbuda,1988,Femme,35-54 ans,0,6021,0,1980-1989
Antigua and Barbuda,1988,Femme,5-14 ans,0,6527,0,1980-1989
Antigua and Barbuda,1988,Femme,55-74 ans,0,3708,0,1980-1989
Antigua and Barbuda,1988,Femme,75+ ans,0,1141,0,1980-1989
Antigua and Barbuda,1988,Homme,15-24 ans,0,7209,0,1980-1989
Antigua and Barbuda,1988,Homme,25-34 ans,0,5826,0,1980-1989
Antigua and Barbuda,1988,Homme,35-54 ans,0,5907,0,1980-1989
Antigua and Barbuda,1988,Homme,5-14 ans,0,6355,0,1980-1989
Antigua and Barbuda,1988,Homme,55-74 ans,0,2813,0,1980-1989
Antigua and Barbuda,1988,Homme,75+ ans,0,603,0,1980-1989
Antigua and Barbuda,1989,Femme,15-24 ans,0,7152,0,1980-1989
Antigua and Barbuda,1989,Femme,25-34 ans,0,6059,0,1980-1989
Antigua and Barbuda,1989,Femme,35-54 ans,0,5969,0,1980-1989
Antigua and Barbuda,1989,Femme,5-14 ans,0,6621,0,1980-1989
Antigua and Barbuda,1989,Femme,55-74 ans,0,3696,0,1980-1989
Antigua and Barbuda,1989,Femme,75+ ans,0,1195,0,1980-1989
Antigua and Barbuda,1989,Homme,15-24 ans,0,6927,0,1980-1989
Antigua and Barbuda,1989,Homme,25-34 ans,0,5835,0,1980-1989
Antigua and Barbuda,1989,Homme,35-54 ans,0,5862,0,1980-1989
Antigua and Barbuda,1989,Homme,5-14 ans,0,6403,0,1980-1989
Antigua and Barbuda,1989,Homme,55-74 ans,0,2843,0,1980-1989
Antigua and Barbuda,1989,Homme,75+ ans,0,676,0,1980-1989
Antigua and Barbuda,1990,Femme,15-24 ans,0,6827,0,1990-1999
Antigua and Barbuda,1990,Femme,25-34 ans,0,6172,0,1990-1999
Antigua and Barbuda,1990,Femme,35-54 ans,0,5895,0,1990-1999
Antigua and Barbuda,1990,Femme,5-14 ans,0,6877,0,1990-1999
Antigua and Barbuda,1990,Femme,55-74 ans,0,3706,0,1990-1999
Antigua and Barbuda,1990,Femme,75+ ans,0,1252,0,1990-1999
Antigua and Barbuda,1990,Homme,15-24 ans,0,6598,0,1990-1999
Antigua and Barbuda,1990,Homme,25-34 ans,0,5937,0,1990-1999
Antigua and Barbuda,1990,Homme,35-54 ans,1,5799,17.24435247456458,1990-1999
Antigua and Barbuda,1990,Homme,5-14 ans,0,6611,0,1990-1999
Antigua and Barbuda,1990,Homme,55-74 ans,0,2902,0,1990-1999
Antigua and Barbuda,1990,Homme,75+ ans,0,758,0,1990-1999
Antigua and Barbuda,1991,Femme,15-24 ans,0,6595,0,1990-1999
Antigua and Barbuda,1991,Femme,25-34 ans,0,6396,0,1990-1999
Antigua and Barbuda,1991,Femme,35-54 ans,0,6198,0,1990-1999
Antigua and Barbuda,1991,Femme,5-14 ans,0,7089,0,1990-1999
Antigua and Barbuda,1991,Femme,55-74 ans,0,3665,0,1990-1999
Antigua and Barbuda,1991,Femme,75+ ans,0,1293,0,1990-1999
Antigua and Barbuda,1991,Homme,15-24 ans,0,6401,0,1990-1999
Antigua and Barbuda,1991,Homme,25-34 ans,0,6156,0,1990-1999
Antigua and Barbuda,1991,Homme,35-54 ans,0,6122,0,1990-1999
Antigua and Barbuda,1991,Homme,5-14 ans,0,6818,0,1990-1999
Antigua and Barbuda,1991,Homme,55-74 ans,0,2857,0,1990-1999
Antigua and Barbuda,1991,Homme,75+ ans,0,804,0,1990-1999
Antigua and Barbuda,1992,Femme,15-24 ans,0,6369,0,1990-1999
Antigua and Barbuda,1992,Femme,25-34 ans,0,6650,0,1990-1999
Antigua and Barbuda,1992,Femme,35-54 ans,0,6534,0,1990-1999
Antigua and Barbuda,1992,Femme,5-14 ans,0,7311,0,1990-1999
Antigua and Barbuda,1992,Femme,55-74 ans,0,3648,0,1990-1999
Antigua and Barbuda,1992,Femme,75+ ans,0,1339,0,1990-1999
Antigua and Barbuda,1992,Homme,15-24 ans,0,6221,0,1990-1999
Antigua and Barbuda,1992,Homme,25-34 ans,0,6409,0,1990-1999
Antigua and Barbuda,1992,Homme,35-54 ans,0,6497,0,1990-1999
Antigua and Barbuda,1992,Homme,5-14 ans,0,7059,0,1990-1999
Antigua and Barbuda,1992,Homme,55-74 ans,0,2851,0,1990-1999
Antigua and Barbuda,1992,Homme,75+ ans,0,853,0,1990-1999
Antigua and Barbuda,1993,Femme,15-24 ans,0,6182,0,1990-1999
Antigua and Barbuda,1993,Femme,25-34 ans,0,6914,0,1990-1999
Antigua and Barbuda,1993,Femme,35-54 ans,0,6917,0,1990-1999
Antigua and Barbuda,1993,Femme,5-14 ans,0,7529,0,1990-1999
Antigua and Barbuda,1993,Femme,55-74 ans,0,3662,0,1990-1999
Antigua and Barbuda,1993,Femme,75+ ans,0,1386,0,1990-1999
Antigua and Barbuda,1993,Homme,15-24 ans,0,6069,0,1990-1999
Antigua and Barbuda,1993,Homme,25-34 ans,1,6668,14.997000599880023,1990-1999
Antigua and Barbuda,1993,Homme,35-54 ans,0,6915,0,1990-1999
Antigua and Barbuda,1993,Homme,5-14 ans,0,7298,0,1990-1999
